Date,City,GHI,Temperature,Humidity,Cloud_Coverage,Wind_Speed,Precipitation,Pressure,Corrected_Wind_Speed
2022-03-19,Guwahati,5.292,23.353,54.08,62.381,0.842,-0.469,96.807,3.094
2022-03-20,Guwahati,3.971,23.115,55.867,96.093,0.451,0.927,96.676,2.603
2022-03-21,Guwahati,0.871,20.071,72.71,98.363,0.63,28.486,96.907,2.953
2022-03-22,Guwahati,1.355,21.211,68.566,100.935,0.66,5.63,96.534,2.932
2022-03-23,Guwahati,5.245,20.132,73.891,66.305,0.968,0.475,96.365,3.279
2022-03-24,Guwahati,3.171,20.345,70.864,88.054,0.66,2.369,96.32,2.902
2022-03-25,Guwahati,3.198,21.751,69.036,93.675,0.597,-0.19,96.497,2.479
2022-03-26,Guwahati,4.367,21.833,69.15,81.157,0.555,4.527,96.589,1.785
2022-03-27,Guwahati,2.254,22.547,73.096,87.45,0.488,17.997,96.773,2.524
2022-03-28,Guwahati,2.589,22.786,68.835,88.584,0.4,-0.581,96.735,2.125
2022-03-29,Guwahati,4.125,23.323,65.414,77.042,0.691,-0.043,96.67,2.415
2022-03-30,Guwahati,5.662,24.585,66.263,40.028,0.586,-0.62,96.76,2.844
2022-03-31,Guwahati,3.766,23.655,73.471,78.604,0.601,4.98,96.561,2.978
2022-04-01,Guwahati,2.875,24.754,72.099,96.034,1.367,41.717,96.154,6.039
2022-04-02,Guwahati,6.067,25.22,61.955,53.493,1.65,5.106,95.953,6.928
2022-04-03,Guwahati,6.712,23.642,54.084,15.016,1.13,0.433,96.086,5.438
2022-04-04,Guwahati,6.192,23.631,65.679,50.283,0.804,1.559,96.267,3.836
2022-04-05,Guwahati,5.512,23.551,60.51,69.336,0.853,0.203,96.304,4.524
2022-04-06,Guwahati,4.897,24.653,67.997,67.345,0.737,8.788,96.057,3.591
2022-04-07,Guwahati,6.101,25.158,64.97,49.81,1.059,1.367,95.963,4.936
2022-04-08,Guwahati,6.276,25.507,60.046,45.32,1.217,5.39,96.065,5.571
2022-04-09,Guwahati,4.049,25.042,60.333,84.139,1.033,-0.887,96.361,4.535
2022-04-10,Guwahati,6.052,24.614,59.555,59.606,0.616,0.396,96.506,3.339
2022-04-11,Guwahati,4.726,24.286,60.495,91.939,0.484,-0.17,96.609,2.711
2022-04-12,Guwahati,4.45,24.429,57.781,80.298,0.63,0.318,96.748,2.306
2022-04-13,Guwahati,5.208,24.989,57.448,89.17,0.67,0.367,96.769,2.527
2022-04-14,Guwahati,6.156,24.986,58.006,52.584,0.604,0.218,96.712,2.25
2022-04-15,Guwahati,6.082,26.184,60.078,42.192,0.466,0.485,96.632,2.573
2022-04-16,Guwahati,5.12,26.06,61.756,44.304,0.768,2.287,96.596,3.877
2022-04-17,Guwahati,2.133,27.295,57.967,95.723,0.94,3.505,95.997,4.062
2022-04-18,Guwahati,5.845,26.862,64.388,70.678,0.923,3.171,96.314,4.104
2022-04-19,Guwahati,4.179,27.073,65.573,82.554,0.584,3.64,96.031,3.307
2022-04-20,Guwahati,4.227,26.316,70.177,98.395,0.864,8.476,95.953,2.974
2022-04-21,Guwahati,3.832,26.643,69.902,96.658,0.644,10.309,95.65,3.099
2022-04-22,Guwahati,6.422,26.76,54.744,77.909,0.998,-0.345,95.747,5.117
2022-04-23,Guwahati,6.19,27.274,64.231,71.95,0.876,2.535,95.958,4.271
2022-04-24,Guwahati,5.723,26.554,48.547,92.821,1.125,0.369,96.066,5.846
2022-04-25,Guwahati,6.798,27.567,47.639,41.698,1.27,0.358,96.013,5.922
2022-04-26,Guwahati,6.825,28.581,44.379,41.129,1.208,0.068,95.973,5.439
2022-04-27,Guwahati,6.376,27.9,51.093,55.073,0.971,0.372,96.188,4.461
2022-04-28,Guwahati,5.723,27.774,64.1,87.743,0.666,2.825,96.145,3.229
2022-04-29,Guwahati,5.279,29.34,57.015,86.508,1.141,1.704,95.864,5.261
2022-04-30,Guwahati,6.338,27.642,55.237,83.231,1.078,0.097,95.765,4.794
2022-05-01,Guwahati,6.334,29.129,51.22,80.243,1.168,0.343,95.763,5.112
2022-05-02,Guwahati,6.339,29.084,49.876,72.053,1.362,1.468,95.561,5.725
2022-05-03,Guwahati,5.967,28.491,53.807,59.997,1.295,7.777,95.815,5.65
2022-05-04,Guwahati,6.367,27.209,47.783,67.456,0.896,1.236,96.174,3.425
2022-05-05,Guwahati,5.541,25.343,56.964,75.944,0.59,0.146,96.4,2.075
2022-05-06,Guwahati,2.707,24.582,74.295,90.97,0.57,33.177,95.96,2.283
2022-05-07,Guwahati,2.316,24.163,79.077,98.072,0.734,17.861,96.16,2.968
2022-05-08,Guwahati,2.427,24.585,74.398,98.614,0.806,3.362,96.592,2.818
2022-05-09,Guwahati,4.545,24.772,70.992,88.543,0.484,0.308,96.456,2.841
2022-05-10,Guwahati,5.7,24.713,71.801,77.153,0.375,2.31,96.482,1.734
2022-05-11,Guwahati,3.982,25.867,70.507,83.471,0.397,6.538,96.402,1.157
2022-05-12,Guwahati,6.018,26.543,67.94,62.968,0.514,2.821,96.399,1.08
2022-05-13,Guwahati,6.523,27.046,70.084,50.185,0.49,0.894,96.416,1.726
2022-05-14,Guwahati,5.066,27.127,71.557,64.767,0.449,1.269,96.554,1.89
2022-05-15,Guwahati,6.649,28.011,70.616,30.47,0.485,0.625,96.236,2.624
2022-05-16,Guwahati,6.208,28.034,70.03,46.265,0.55,2.623,96.745,2.429
2022-05-17,Guwahati,6.094,28.045,73.568,60.851,0.631,16.856,96.496,3.108
2022-05-18,Guwahati,5.526,27.966,69.13,64.857,0.889,5.538,96.177,4.234
2022-05-19,Guwahati,2.682,27.062,78.368,99.766,0.535,24.111,96.095,2.642
2022-05-20,Guwahati,5.458,26.579,76.651,91.637,0.534,19.575,96.033,2.421
2022-05-21,Guwahati,5.087,26.731,76.358,94.197,0.468,13.389,96.238,1.766
2022-05-22,Guwahati,5.583,28.449,69.834,67.038,0.609,3.833,95.826,1.853
2022-05-23,Guwahati,6.417,29.077,66.018,70.427,0.405,1.843,96.147,2.172
2022-05-24,Guwahati,7.212,29.204,67.113,44.313,0.444,2.507,95.758,1.709
2022-05-25,Guwahati,7.09,30.735,61.113,49.107,0.415,1.863,95.86,2.019
2022-05-26,Guwahati,7.609,31.014,62.854,29.182,0.559,-0.058,95.472,2.6
2022-05-27,Guwahati,6.035,32.081,67.669,81.369,0.601,3.574,95.637,2.655
2022-05-28,Guwahati,1.754,27.103,82.772,100.623,1.087,76.138,95.259,4.179
2022-05-29,Guwahati,2.865,26.005,87.234,98.902,1.429,73.505,94.81,5.581
2022-05-30,Guwahati,4.141,27.593,81.515,94.785,1.0,6.33,95.351,4.484
2022-05-31,Guwahati,2.079,28.291,81.664,99.299,0.814,39.862,95.712,3.529
2022-06-01,Guwahati,3.398,28.73,77.577,96.362,0.714,19.626,95.95,2.597
2022-06-02,Guwahati,5.147,29.209,77.114,82.014,0.547,14.351,95.892,2.367
2022-06-03,Guwahati,4.551,28.463,80.923,92.446,0.876,49.316,96.012,3.197
2022-06-04,Guwahati,4.749,26.589,86.199,88.643,0.622,46.313,95.978,2.946
2022-06-05,Guwahati,4.085,27.853,72.434,97.493,0.536,17.153,96.096,1.97
2022-06-06,Guwahati,4.425,28.235,75.619,80.675,0.552,5.654,96.163,1.576
2022-06-07,Guwahati,4.439,29.168,74.494,80.737,0.243,6.562,95.979,1.465
2022-06-08,Guwahati,6.071,27.968,79.305,62.512,0.628,1.346,96.015,2.521
2022-06-09,Guwahati,3.932,28.284,79.676,99.779,0.643,3.591,95.925,3.28
2022-06-10,Guwahati,2.826,28.947,79.203,97.347,0.483,12.627,95.752,2.912
2022-06-11,Guwahati,4.991,29.007,78.678,94.778,0.566,4.151,95.918,2.408
2022-06-12,Guwahati,2.569,28.04,78.847,93.772,0.463,2.382,95.91,1.615
2022-06-13,Guwahati,4.534,28.904,77.254,100.016,0.376,25.082,95.846,1.61
2022-06-14,Guwahati,1.974,28.838,78.939,92.549,0.334,16.966,95.468,1.793
2022-06-15,Guwahati,2.929,29.258,78.313,95.748,0.618,17.342,95.716,2.016
2022-06-16,Guwahati,1.968,28.34,81.87,96.972,0.437,23.548,95.624,2.067
2022-06-17,Guwahati,1.762,28.58,82.27,98.482,0.329,35.25,95.686,2.189
2022-06-18,Guwahati,1.373,28.158,85.666,100.243,0.539,65.156,95.782,2.903
2022-06-19,Guwahati,1.075,27.284,87.166,98.88,0.796,52.849,95.661,3.797
2022-06-20,Guwahati,1.612,26.825,87.943,94.126,0.6,70.527,95.386,2.529
2022-06-21,Guwahati,4.827,27.711,82.572,88.42,0.509,22.466,95.562,2.185
2022-06-22,Guwahati,5.884,28.231,75.304,83.956,0.433,-0.051,95.691,1.428
2022-06-23,Guwahati,5.418,29.564,72.173,86.885,0.313,0.786,95.721,0.981
2022-06-24,Guwahati,6.199,28.03,84.252,82.109,0.512,5.03,95.709,2.572
2022-06-25,Guwahati,3.939,28.656,79.148,90.907,0.535,4.385,95.497,2.604
2022-06-26,Guwahati,4.287,28.284,82.829,95.06,0.406,1.415,95.901,1.785
2022-06-27,Guwahati,6.062,28.434,87.495,83.014,0.387,6.763,95.724,1.425
2022-06-28,Guwahati,3.596,28.455,89.542,96.473,0.387,8.269,96.011,1.332
2022-06-29,Guwahati,2.7,28.076,86.011,97.716,0.512,15.67,95.617,2.428
2022-06-30,Guwahati,2.294,28.087,85.368,98.03,0.278,32.563,95.666,1.472
2022-07-01,Guwahati,2.526,28.459,88.201,100.525,0.412,41.05,95.52,2.016
2022-07-02,Guwahati,2.028,26.916,89.057,97.613,0.495,38.164,95.179,2.643
2022-07-03,Guwahati,4.237,27.52,83.43,98.376,0.456,20.509,95.475,1.386
2022-07-04,Guwahati,5.085,28.718,82.122,94.048,0.376,9.454,95.674,1.662
2022-07-05,Guwahati,4.076,28.284,82.102,95.657,0.328,25.738,95.654,1.725
2022-07-06,Guwahati,3.057,27.807,87.248,100.131,0.372,28.625,95.721,1.772
2022-07-07,Guwahati,4.403,28.018,82.631,95.821,0.547,4.35,95.639,2.032
2022-07-08,Guwahati,5.0,28.204,81.298,91.997,0.378,1.29,95.674,1.952
2022-07-09,Guwahati,4.93,27.876,86.484,93.36,0.727,2.508,95.831,2.678
2022-07-10,Guwahati,3.737,27.533,87.626,99.218,0.669,3.556,95.819,3.154
2022-07-11,Guwahati,3.26,27.373,89.483,98.492,0.68,24.546,96.061,2.949
2022-07-12,Guwahati,2.552,28.062,86.635,98.029,0.632,37.18,95.731,2.988
2022-07-13,Guwahati,4.273,28.248,83.222,86.355,0.543,15.251,95.47,2.065
2022-07-14,Guwahati,5.673,28.607,81.92,80.369,0.443,2.67,95.441,1.936
2022-07-15,Guwahati,5.489,30.202,74.592,87.601,0.237,1.42,95.559,1.415
2022-07-16,Guwahati,5.037,28.668,83.29,95.155,0.474,11.174,95.497,1.6
2022-07-17,Guwahati,4.051,29.094,83.599,98.188,0.308,4.723,95.833,1.447
2022-07-18,Guwahati,5.655,28.423,87.173,80.224,0.31,4.096,95.749,1.176
2022-07-19,Guwahati,4.693,28.823,83.194,90.175,0.387,1.355,95.77,1.455
2022-07-20,Guwahati,6.107,29.916,83.916,83.84,0.466,2.383,95.439,1.696
2022-07-21,Guwahati,3.816,29.51,85.608,92.959,0.474,21.651,95.685,1.796
2022-07-22,Guwahati,4.569,28.922,80.657,97.735,0.338,9.972,95.771,0.768
2022-07-23,Guwahati,3.74,29.228,80.512,96.508,0.216,18.066,95.817,1.139
2022-07-24,Guwahati,4.749,28.876,74.817,99.711,0.218,12.466,95.4,0.784
2022-07-25,Guwahati,5.868,30.361,72.867,89.397,0.331,4.952,94.959,1.472
2022-07-26,Guwahati,5.826,30.266,83.496,78.857,0.495,13.672,94.933,2.038
2022-07-27,Guwahati,6.617,30.039,80.517,78.437,0.654,1.935,95.013,3.587
2022-07-28,Guwahati,5.939,29.093,83.997,95.453,0.721,0.355,95.433,3.168
2022-07-29,Guwahati,5.983,30.918,82.415,71.576,0.518,5.629,95.53,1.515
2022-07-30,Guwahati,3.293,29.478,85.272,95.107,0.402,8.156,95.387,1.769
2022-07-31,Guwahati,4.037,29.554,79.402,95.391,0.475,4.736,95.823,1.706
2022-08-01,Guwahati,5.573,28.466,83.753,67.965,0.512,6.684,95.907,2.237
2022-08-02,Guwahati,5.083,28.227,81.096,89.727,0.783,3.662,95.589,3.409
2022-08-03,Guwahati,3.539,26.881,87.984,97.596,0.497,25.867,95.902,2.407
2022-08-04,Guwahati,2.954,28.155,82.384,95.576,0.291,25.193,95.912,1.556
2022-08-05,Guwahati,5.434,27.023,84.277,83.569,0.653,2.445,95.979,2.892
2022-08-06,Guwahati,2.895,28.832,80.626,95.929,0.396,8.345,95.758,2.153
2022-08-07,Guwahati,2.504,28.718,81.558,99.46,0.219,22.866,95.802,1.388
2022-08-08,Guwahati,5.408,27.501,87.175,86.223,0.388,8.166,95.727,2.049
2022-08-09,Guwahati,4.303,27.321,82.451,98.003,0.399,20.821,95.98,1.861
2022-08-10,Guwahati,4.801,27.807,84.018,90.038,0.498,13.337,95.902,2.438
2022-08-11,Guwahati,4.082,28.099,83.598,93.055,0.555,12.755,95.797,2.478
2022-08-12,Guwahati,4.235,27.911,86.271,97.114,0.371,13.878,95.703,1.711
2022-08-13,Guwahati,4.333,27.726,87.097,95.678,0.538,12.021,95.9,2.073
2022-08-14,Guwahati,4.302,28.748,80.984,98.374,0.182,2.212,96.128,1.726
2022-08-15,Guwahati,5.542,29.015,81.808,93.079,0.294,1.164,96.191,1.605
2022-08-16,Guwahati,4.666,26.842,89.312,90.374,0.326,19.491,95.87,2.106
2022-08-17,Guwahati,6.328,28.11,77.111,65.253,0.301,3.815,95.834,1.529
2022-08-18,Guwahati,5.441,27.781,84.488,80.301,0.475,0.705,96.063,2.314
2022-08-19,Guwahati,4.583,25.822,89.751,88.823,0.438,8.581,96.116,2.322
2022-08-20,Guwahati,3.629,25.438,93.86,94.069,0.629,31.611,95.969,2.844
2022-08-21,Guwahati,1.845,25.034,96.241,99.896,0.768,60.058,95.929,3.379
2022-08-22,Guwahati,4.283,26.348,89.847,95.295,0.495,22.71,95.965,2.129
2022-08-23,Guwahati,5.813,26.649,86.891,84.643,0.637,6.277,96.053,3.069
2022-08-24,Guwahati,5.372,28.161,79.855,83.34,0.447,2.224,96.072,1.742
2022-08-25,Guwahati,3.842,26.513,89.097,89.591,0.343,3.21,96.017,1.379
2022-08-26,Guwahati,5.492,28.464,80.372,67.835,0.553,2.276,95.933,1.945
2022-08-27,Guwahati,4.513,27.278,84.498,92.927,0.413,0.792,95.915,2.399
2022-08-28,Guwahati,5.091,27.971,79.094,83.095,0.328,1.911,96.375,2.075
2022-08-29,Guwahati,5.075,27.874,86.57,87.093,0.436,0.993,96.148,1.947
2022-08-30,Guwahati,4.417,29.111,85.342,81.772,0.455,1.605,95.972,1.562
2022-08-31,Guwahati,5.573,29.778,80.013,71.489,0.47,2.592,95.839,2.124
2022-09-01,Guwahati,2.345,28.267,85.997,97.673,0.443,0.869,96.115,2.183
2022-09-02,Guwahati,3.206,26.523,92.525,99.085,0.409,12.011,96.209,1.572
2022-09-03,Guwahati,6.035,27.726,85.71,62.28,0.216,3.272,96.149,0.925
2022-09-04,Guwahati,3.692,28.777,79.4,95.078,0.261,8.453,96.084,1.821
2022-09-05,Guwahati,5.194,27.077,88.175,85.69,0.419,5.556,95.746,2.322
2022-09-06,Guwahati,3.958,28.33,84.588,95.576,0.401,9.534,95.987,1.418
2022-09-07,Guwahati,5.987,27.571,89.455,59.52,0.223,4.615,95.827,1.466
2022-09-08,Guwahati,6.234,29.49,77.544,62.162,0.423,0.493,95.999,1.887
2022-09-09,Guwahati,5.906,29.689,78.842,62.51,0.317,3.769,96.131,1.559
2022-09-10,Guwahati,5.157,29.019,79.525,91.818,0.368,3.286,95.834,1.49
2022-09-11,Guwahati,5.133,28.236,84.746,87.628,0.272,2.739,95.772,1.593
2022-09-12,Guwahati,3.367,28.071,86.858,94.135,0.431,4.328,95.808,1.756
2022-09-13,Guwahati,5.304,28.729,82.841,82.749,0.421,0.497,95.884,2.294
2022-09-14,Guwahati,6.275,28.292,80.282,65.96,0.745,-0.058,95.741,3.53
2022-09-15,Guwahati,4.55,27.443,82.359,97.614,0.66,1.116,95.593,3.528
2022-09-16,Guwahati,3.817,26.355,79.838,81.006,0.598,0.593,95.742,3.182
2022-09-17,Guwahati,4.768,27.948,74.931,97.979,0.301,0.3,95.906,1.522
2022-09-18,Guwahati,5.739,28.065,77.959,73.714,0.296,0.637,96.285,1.396
2022-09-19,Guwahati,5.952,29.671,77.532,59.714,0.281,0.61,96.037,1.577
2022-09-20,Guwahati,5.896,30.484,75.803,44.183,0.317,0.574,95.961,1.525
2022-09-21,Guwahati,5.032,30.297,74.947,70.067,0.356,-0.055,95.789,1.242
2022-09-22,Guwahati,5.262,29.758,76.248,53.631,0.237,0.037,96.099,1.335
2022-09-23,Guwahati,5.609,29.452,73.897,77.028,0.396,0.33,96.032,1.539
2022-09-24,Guwahati,5.462,29.595,76.581,77.17,0.382,1.553,96.006,2.304
2022-09-25,Guwahati,4.633,27.501,86.367,98.153,0.392,6.063,96.146,2.795
2022-09-26,Guwahati,1.902,25.492,93.129,95.97,0.412,20.738,96.382,2.241
2022-09-27,Guwahati,2.356,24.64,87.645,97.154,0.447,22.611,96.38,1.499
2022-09-28,Guwahati,3.033,24.842,86.743,99.427,0.429,2.574,96.506,2.478
2022-09-29,Guwahati,2.908,24.908,85.531,99.324,0.59,2.626,96.353,3.459
2022-09-30,Guwahati,3.396,26.815,89.541,92.71,0.521,12.434,96.224,3.625
2022-10-01,Guwahati,3.023,26.723,85.009,87.673,0.661,6.474,96.225,3.414
2022-10-02,Guwahati,1.725,27.431,83.434,91.238,0.457,6.426,96.23,1.988
2022-10-03,Guwahati,4.277,25.88,95.221,96.408,0.535,8.21,95.962,2.899
2022-10-04,Guwahati,1.96,23.956,95.49,98.691,0.621,25.002,96.124,3.519
2022-10-05,Guwahati,0.822,25.413,87.313,99.344,0.209,43.241,95.901,1.7
2022-10-06,Guwahati,1.54,25.098,90.668,97.993,0.442,28.918,96.319,1.852
2022-10-07,Guwahati,2.242,25.198,87.296,94.428,0.28,2.464,96.635,1.282
2022-10-08,Guwahati,4.245,25.74,83.017,78.642,0.343,1.592,96.716,1.367
2022-10-09,Guwahati,3.657,26.068,84.864,79.124,0.555,3.032,96.677,1.782
2022-10-10,Guwahati,2.745,26.083,81.305,90.612,0.419,5.134,96.693,1.903
2022-10-11,Guwahati,2.705,24.627,85.264,88.248,0.526,8.796,96.371,2.881
2022-10-12,Guwahati,3.648,24.245,87.817,69.082,0.716,4.258,96.442,4.101
2022-10-13,Guwahati,2.974,25.428,83.54,73.78,0.58,-0.159,96.32,2.656
2022-10-14,Guwahati,3.221,25.077,80.488,67.316,0.205,0.607,96.498,1.696
2022-10-15,Guwahati,4.243,24.157,82.675,32.063,0.363,-0.404,96.676,1.743
2022-10-16,Guwahati,3.056,22.938,84.885,83.279,0.214,4.203,96.635,1.347
2022-10-17,Guwahati,2.661,23.657,81.067,68.801,0.289,1.627,96.689,1.627
2022-10-18,Guwahati,3.8,23.067,83.16,55.004,0.315,-0.225,96.586,2.267
2022-10-19,Guwahati,3.859,23.469,84.018,42.389,0.38,-0.385,96.68,1.459
2022-10-20,Guwahati,3.654,23.982,80.146,61.677,0.357,0.97,96.746,1.63
2022-10-21,Guwahati,4.263,22.966,84.879,37.565,0.511,0.469,96.866,2.462
2022-10-22,Guwahati,4.898,22.438,83.16,38.64,0.414,-0.387,96.695,2.873
2022-10-23,Guwahati,4.978,24.493,84.622,28.09,0.505,1.007,96.536,2.956
2022-10-24,Guwahati,3.838,24.878,85.462,85.699,0.576,1.195,96.716,3.032
2022-10-25,Guwahati,1.76,22.228,94.415,99.059,0.498,3.289,96.728,2.564
2022-10-26,Guwahati,1.595,23.777,84.025,98.097,0.468,5.274,96.76,2.172
2022-10-27,Guwahati,2.755,24.518,82.045,92.623,0.29,-0.032,96.789,1.781
2022-10-28,Guwahati,4.453,23.536,84.207,42.933,0.321,-0.082,96.579,1.912
2022-10-29,Guwahati,4.706,23.083,84.595,31.44,0.328,0.682,96.242,1.957
2022-10-30,Guwahati,3.702,24.218,84.74,56.691,0.389,2.845,96.454,2.016
2022-10-31,Guwahati,3.228,24.054,84.367,91.405,0.496,8.824,96.691,2.671
2022-11-01,Guwahati,2.611,23.156,84.612,76.486,0.492,3.834,96.491,2.608
2022-11-02,Guwahati,1.675,22.344,77.412,79.608,0.273,0.641,96.97,1.844
2022-11-03,Guwahati,4.091,22.588,76.986,30.208,0.522,0.994,96.73,1.663
